Reference,Uncompetitive supplier behavior,Standard leadtime - days PO-shipment POL,Retail Packaging,Payment term - days and discounts,New product introduction,Long term commitment rebate
Qingdao Landmark,,35,Not quoted,"90 days BOL, 15-1.00%,15-1.00%,30-0.50%,45-0.50%,60-0.50%,75-0.50%",No new products filled out,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 0.5%, 4: 0.5%, 5: 0.5%"
Rutland,,75,Not quoted,90 days BOL,Over 30 new products listed with indicative pricing,No quote
Sellonsky-Safehome,,131,Not quoted,90 days BOL,No new products filled out,No quote
Sichuan Y&J,,63,Not quoted,90 days BOL,Between 1-10 new products listed BUT NO indicative pricing,No quote
Swati Enterprise,,90,Yes at 4.5% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-3%,30-2.75%,45-2%,60-1.5%,75-0.5%",Between 1-10 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 3%, 4: 3.5%, 5: 4%"
Tianjin Outshine,"If order value is less than USD20000, extra USD200 will be charged.",55,Not quoted,90 days BOL,No new products filled out,No quote
Tianjin Yuda,,40,Yes at 2% upcharge EXW price - see bid data for retail packaging detail,90 days BOL,Between 1-10 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 4: 1%, 5: 3%"
Union Metal Products,,72,Not quoted,90 days BOL,No new products filled out,No quote
United Brothers,,90,Not quoted,90 days BOL,Between 1-10 new products listed BUT NO indicative pricing,No quote
WEFLO,,71,Not quoted,90 days BOL,No new products filled out,No quote
Well Built Alloy,,120,Yes at 2% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-4%,30-3%,45-2%,60-1%,75-0.5%",No new products filled out,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 1%, 4: 2%, 5: 3%"
West Legend-MTD,,45,Not quoted,90 days BOL,No new products filled out,No quote
ZHEJIANG WANDEKAI,,55,Not quoted,90 days BOL,No new products filled out,No quote
Zhejiang Acme,,50,Yes at 2% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-2%,30-1.5%,45-1.5%,60-1%,75-1%",Between 10-20 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 1%, 4: 1.5%, 5: 1.5%"
Zhejiang Best Honest,,60,Not quoted,"90 days BOL, 15-1%,30-0.75%,45-0.50%,60-0.25%",Between 1-10 new products listed with indicative pricing,Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 5: 2%
